COMPDESC,count
LANE DEPARTURE: BLIND SPOT DETECTION,2525
EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.,2522
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DISC:CALIPER",2488
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:HOSES, LINES/PIPING, AND FITTINGS",2467
"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS",2462
ELECTRICAL SYSTEM:IGNITION:MODULE,2445
POWER TRAIN:AUTOMATIC TRANSMISSION:PARK/NEUTRAL START INTERLOCK SWITCH,2439
TRACTION CONTROL SYSTEM,2344
TIRES:PRESSURE MONITORING AND REGULATING SYSTEMS,2332
ELECTRICAL SYSTEM:WIRING:FUSES AND CIRCUIT BREAKERS,2317
WHEELS:LUGS/NUTS/BOLTS/STUDS,2236
LANE DEPARTURE: WARNING,2177
EQUIPMENT:MECHANICAL,2170
CHILD SEAT:HANDLE (INFANT),2164
"FUEL SYSTEM, GASOLINE:DELIVERY",2150
ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL ,2128
EXTERIOR LIGHTING:BRAKE LIGHTS,2117
ENGINE AND ENGINE COOLING:COOLING SYSTEM:RADIATOR ASSEMBLY,2104
STRUCTURE:BODY:DOOR:HINGE AND ATTACHMENTS,2098
ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:CATALYTIC CONVERTOR,2074
STEERING:HYDRAULIC POWER ASSIST:PUMP,2007
"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:CONTROL UNIT/MODULE ",1982
BACK OVER PREVENTION: WARNINGS,1967
SUSPENSION:FRONT:WHEEL BEARING ,1908
WHEELS:RIM ,1883
POWER TRAIN:DRIVELINE,1775
STEERING:COLUMN,1750
VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:HEATER CORE,1721
EXTERIOR LIGHTING:TURN SIGNAL,1709
LATCHES/LOCKS/LINKAGES:HOOD:LATCH,1700
EQUIPMENT ADAPTIVE/MOBILITY,1681
POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE (TCM/PCM/TECM),1675
VISIBILITY:REARVIEW MIRRORS/DEVICES:EXTERIOR,1631
POWER TRAIN:DRIVELINE:DRIVESHAFT,1602
STRUCTURE:BODY:HATCHBACK/LIFTGATE,1568
"FUEL SYSTEM, GASOLINE:STORAGE:TANK ASSEMBLY:FILLER PIPE AND CAP",1568
"SERVICE BRAKES, HYDRAULIC:FOUNDATION COMPONENTS:DRUM",1559
BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,1549
POWER TRAIN:AUTOMATIC TRANSMISSION:LEVER AND LINKAGE:COLUMN SHIFT,1529
ENGINE AND ENGINE COOLING:COOLING SYSTEM:FAN,1524
"FUEL SYSTEM, OTHER:STORAGE:FUEL GAUGE SYSTEM",1485
SUSPENSION:FRONT:CONTROL ARM,1469
BACK OVER PREVENTION: REARVIEW SYSTEM BRAKING,1453
POWER TRAIN:AUTOMATIC TRANSMISSION:TORQUE CONVERTER,1426
SEAT BELTS:FRONT,1408
SEAT BELTS:REAR/OTHER,1387
ELECTRICAL SYSTEM:STARTER ASSEMBLY,1371
STEERING:GEAR BOX (OTHER THAN RACK AND PINION),1346
POWER TRAIN:TRANSFER CASE (4-WHEEL DRIVE),1336
CHILD SEAT:SHIELD ASSEMBLY ,1327
"SERVICE BRAKES, HYDRAULIC:PEDALS AND LINKAGES",1309
CHILD SEAT:TETHER: STRAP/WEBBING,1300
SEATS:FRONT ASSEMBLY:SEAT HEATER/COOLER,1249
TIRES:VALVE,1230
"SERVICE BRAKES, AIR:ANTILOCK",1222
CHILD SEAT:HARNESS:STRAP/WEBBING,1219
EXTERIOR LIGHTING:TAIL LIGHTS,1204
EXTERIOR LIGHTING:BRAKE LIGHTS:SWITCH,1189
EXTERIOR LIGHTING:HEADLIGHTS:SWITCH,1182
STEERING:LINKAGES,1172
POWER TRAIN:AUTOMATIC TRANSMISSION:GEAR POSITION INDICATION (PRNDL),1171
"FUEL SYSTEM, GASOLINE:FUEL INJECTION SYSTEM:INJECTORS",1169
VEHICLE SPEED CONTROL:LINKAGES,1149
ENGINE AND ENGINE COOLING:ENGINE:DIESEL,1143
"SERVICE BRAKES, HYDRAULIC:ANTILOCK/TRACTION CONTROL/ELECTRONIC LIMITED SLIP:ABS WARNING LIGHT",1131
TIRES:TEMPORARY/EMERGENCY SPARE TIRE,1128
SEAT BELTS:FRONT:WEBBING,1112
LATCHES/LOCKS/LINKAGES:HATCHBACK/LIFTGATE:LOCK,1098
PARKING BRAKE:CONVENTIONAL,1084
SEATS:FRONT ASSEMBLY:HEAD RESTRAINT,1079
ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:GAS RECIRCULATION VALVE (EGR VALVE),1049
EXTERIOR LIGHTING:TURN SIGNAL:SWITCH,1037
STRUCTURE:BODY:TRUNK LID ,1029
STEERING:ELECTRIC POWER ASSIST SYSTEM,1028
SUSPENSION:FRONT:MACPHERSON STRUT,1026
POWER TRAIN:AUTOMATIC TRANSMISSION:COOLING UNIT AND LINES,1024
VISIBILITY:DEFROSTER/DEFOGGER/HVAC SYSTEM:FAN/MOTOR,1015
"FUEL SYSTEM, GASOLINE:CARBURETOR SYSTEM",1014
SUSPENSION:FRONT:CONTROL ARM:LOWER ARM,1004
STEERING:COLUMN LOCKING:ANTI-THEFT DEVICE,986
CHILD SEAT:HARNESS/CROTCH BUCKLE,983
ELECTRICAL SYSTEM:IGNITION:ANTI-THEFT:CONTROL MODULE,982
STRUCTURE:BODY:TAILGATE:HINGE AND ATTACHMENTS,970
SEATS:FRONT ASSEMBLY:POWER ADJUST,962
"STEERING:HYDRAULIC POWER ASSIST:HOSE, PIPING, AND CONNECTIONS",946
VISIBILITY:REARVIEW MIRRORS/DEVICES,932
TRAILER HITCHES,906
CHILD SEAT:BASE,903
STRUCTURE:BODY:ROOF AND PILLARS,901
STRUCTURE:BODY:HATCHBACK/LIFTGATE:SUPPORT DEVICE/STRUT,886
VEHICLE SPEED CONTROL:CABLES,877
SUSPENSION:REAR:SPRINGS:COIL SPRINGS,876
STRUCTURE:BODY:BUMPERS,874
STRUCTURE:BODY:HOOD,831
STRUCTURE:BODY:HATCHBACK/LIFTGATE:HINGE AND ATTACHMENTS,802
POWER TRAIN:AXLE ASSEMBLY:AXLE SHAFT:SEAL,790
ELECTRICAL SYSTEM:INSTRUMENT PANEL:SPEEDOMETER/ODOMETER,782
CHILD SEAT:HARNESS BUCKLE:INFANT,773
CHILD SEAT:HARNESS RETAINER/CHEST CLIP ,762
FORWARD COLLISION AVOIDANCE,761
